============ Train epoch 1 ============
 client 0| Loss: 1.6380 | Test  Acc: 0.7099
 client 1| Loss: 1.7793 | Test  Acc: 0.5001
 client 2| Loss: 1.6297 | Test  Acc: 0.7027
 client 3| Loss: 1.6360 | Test  Acc: 0.7144
 server  | Loss: 1.6360 | Test  Acc: 0.7144============ Train epoch 2 ============
 client 0| Loss: 1.0274 | Test  Acc: 0.7267
 client 1| Loss: 1.1257 | Test  Acc: 0.5646
 client 2| Loss: 1.0309 | Test  Acc: 0.6950
 client 3| Loss: 1.0242 | Test  Acc: 0.7180
 server  | Loss: 1.0274 | Test  Acc: 0.7267============ Train epoch 3 ============
 client 0| Loss: 0.6679 | Test  Acc: 0.7223
 client 1| Loss: 0.8309 | Test  Acc: 0.5577
 client 2| Loss: 0.6594 | Test  Acc: 0.7291
 client 3| Loss: 0.6734 | Test  Acc: 0.7345
 server  | Loss: 0.6734 | Test  Acc: 0.7345============ Train epoch 4 ============
 client 0| Loss: 0.5515 | Test  Acc: 0.7240
 client 1| Loss: 0.6627 | Test  Acc: 0.5970
 client 2| Loss: 0.5509 | Test  Acc: 0.7239
 client 3| Loss: 0.5510 | Test  Acc: 0.7330
 server  | Loss: 0.6734 | Test  Acc: 0.7345============ Train epoch 5 ============
 client 0| Loss: 0.4689 | Test  Acc: 0.7309
 client 1| Loss: 0.5899 | Test  Acc: 0.5957
 client 2| Loss: 0.4719 | Test  Acc: 0.7287
 client 3| Loss: 0.4713 | Test  Acc: 0.7254
 server  | Loss: 0.6734 | Test  Acc: 0.7345============ Train epoch 6 ============
 client 0| Loss: 0.4201 | Test  Acc: 0.7375
 client 1| Loss: 0.5193 | Test  Acc: 0.5941
 client 2| Loss: 0.4213 | Test  Acc: 0.7367
 client 3| Loss: 0.4218 | Test  Acc: 0.7293
 server  | Loss: 0.4201 | Test  Acc: 0.7375============ Train epoch 7 ============
 client 0| Loss: 0.3901 | Test  Acc: 0.7383
 client 1| Loss: 0.4836 | Test  Acc: 0.5905
 client 2| Loss: 0.3906 | Test  Acc: 0.7398
 client 3| Loss: 0.3928 | Test  Acc: 0.7412
 server  | Loss: 0.3928 | Test  Acc: 0.7412============ Train epoch 8 ============
 client 0| Loss: 0.3741 | Test  Acc: 0.7463
 client 1| Loss: 0.4502 | Test  Acc: 0.5990
 client 2| Loss: 0.3738 | Test  Acc: 0.7407
 client 3| Loss: 0.3753 | Test  Acc: 0.7449
 server  | Loss: 0.3741 | Test  Acc: 0.7463============ Train epoch 9 ============
 client 0| Loss: 0.3667 | Test  Acc: 0.7398
 client 1| Loss: 0.4245 | Test  Acc: 0.5916
 client 2| Loss: 0.3675 | Test  Acc: 0.7463
 client 3| Loss: 0.3680 | Test  Acc: 0.7471
 server  | Loss: 0.3680 | Test  Acc: 0.7471============ Train epoch 10 ============
 client 0| Loss: 0.3638 | Test  Acc: 0.7485
 client 1| Loss: 0.4048 | Test  Acc: 0.5980
 client 2| Loss: 0.3638 | Test  Acc: 0.7461
 client 3| Loss: 0.3640 | Test  Acc: 0.7456
 server  | Loss: 0.3638 | Test  Acc: 0.7485============ Train epoch 11 ============
 client 0| Loss: 0.3633 | Test  Acc: 0.7418
