============ Train epoch 1 ============
 client 0| Loss: 1.6365 | Test  Acc: 0.7089
 client 1| Loss: 2.0345 | Test  Acc: 0.3408
 client 2| Loss: 1.6310 | Test  Acc: 0.7092
 client 3| Loss: 1.6382 | Test  Acc: 0.7146
 server  | Loss: 1.6382 | Test  Acc: 0.7146============ Train epoch 2 ============
 client 0| Loss: 1.0428 | Test  Acc: 0.7198
 client 1| Loss: 1.6315 | Test  Acc: 0.3687
 client 2| Loss: 1.0515 | Test  Acc: 0.7213
 client 3| Loss: 1.0425 | Test  Acc: 0.7137
 server  | Loss: 1.0515 | Test  Acc: 0.7213============ Train epoch 3 ============
 client 0| Loss: 0.7064 | Test  Acc: 0.7287
 client 1| Loss: 1.4002 | Test  Acc: 0.3652
 client 2| Loss: 0.6975 | Test  Acc: 0.7177
 client 3| Loss: 0.7061 | Test  Acc: 0.7316
 server  | Loss: 0.7061 | Test  Acc: 0.7316============ Train epoch 4 ============
 client 0| Loss: 0.5772 | Test  Acc: 0.7245
 client 1| Loss: 1.2835 | Test  Acc: 0.4199
 client 2| Loss: 0.5809 | Test  Acc: 0.7341
 client 3| Loss: 0.5820 | Test  Acc: 0.7172
 server  | Loss: 0.5809 | Test  Acc: 0.7341============ Train epoch 5 ============
 client 0| Loss: 0.5044 | Test  Acc: 0.7241
 client 1| Loss: 1.1749 | Test  Acc: 0.3879
 client 2| Loss: 0.5066 | Test  Acc: 0.7265
 client 3| Loss: 0.5082 | Test  Acc: 0.7355
 server  | Loss: 0.5082 | Test  Acc: 0.7355============ Train epoch 6 ============
 client 0| Loss: 0.4483 | Test  Acc: 0.7282
 client 1| Loss: 1.1095 | Test  Acc: 0.4349
 client 2| Loss: 0.4511 | Test  Acc: 0.7286
 client 3| Loss: 0.4490 | Test  Acc: 0.7347
 server  | Loss: 0.5082 | Test  Acc: 0.7355============ Train epoch 7 ============
 client 0| Loss: 0.4107 | Test  Acc: 0.7284
 client 1| Loss: 1.0499 | Test  Acc: 0.4396
 client 2| Loss: 0.4120 | Test  Acc: 0.7360
 client 3| Loss: 0.4108 | Test  Acc: 0.7312
 server  | Loss: 0.4120 | Test  Acc: 0.7360============ Train epoch 8 ============
 client 0| Loss: 0.3883 | Test  Acc: 0.7367
 client 1| Loss: 1.0000 | Test  Acc: 0.4815
 client 2| Loss: 0.3909 | Test  Acc: 0.7433
 client 3| Loss: 0.3898 | Test  Acc: 0.7406
 server  | Loss: 0.3909 | Test  Acc: 0.7433============ Train epoch 9 ============
 client 0| Loss: 0.3736 | Test  Acc: 0.7333
 client 1| Loss: 0.9655 | Test  Acc: 0.4662
 client 2| Loss: 0.3715 | Test  Acc: 0.7386
 client 3| Loss: 0.3722 | Test  Acc: 0.7405
 server  | Loss: 0.3909 | Test  Acc: 0.7433============ Train epoch 10 ============
 client 0| Loss: 0.3634 | Test  Acc: 0.7361
 client 1| Loss: 0.9356 | Test  Acc: 0.4856
 client 2| Loss: 0.3645 | Test  Acc: 0.7408
 client 3| Loss: 0.3642 | Test  Acc: 0.7375
 server  | Loss: 0.3909 | Test  Acc: 0.7433============ Train epoch 11 ============
 client 0| Loss: 0.3564 | Test  Acc: 0.7398
 client 1| Loss: 0.8845 | Test  Acc: 0.4690
 client 2| Loss: 0.3577 | Test  Acc: 0.7399
 client 3| Loss: 0.3575 | Test  Acc: 0.7367
 server  | Loss: 0.3909 | Test  Acc: 0.7433============ Train epoch 12 ============
 client 0| Loss: 0.3541 | Test  Acc: 0.7317
 client 1| Loss: 0.8702 | Test  Acc: 0.5015
 client 2| Loss: 0.3561 | Test  Acc: 0.7388
 client 3| Loss: 0.3533 | Test  Acc: 0.7454
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 13 ============
 client 0| Loss: 0.3515 | Test  Acc: 0.7379
 client 1| Loss: 0.8375 | Test  Acc: 0.4896
 client 2| Loss: 0.3476 | Test  Acc: 0.7381
 client 3| Loss: 0.3519 | Test  Acc: 0.7383
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 14 ============
 client 0| Loss: 0.3462 | Test  Acc: 0.7410
 client 1| Loss: 0.8231 | Test  Acc: 0.4805
 client 2| Loss: 0.3504 | Test  Acc: 0.7335
 client 3| Loss: 0.3459 | Test  Acc: 0.7420
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 15 ============
 client 0| Loss: 0.3454 | Test  Acc: 0.7406
 client 1| Loss: 0.7966 | Test  Acc: 0.4980
 client 2| Loss: 0.3424 | Test  Acc: 0.7392
 client 3| Loss: 0.3476 | Test  Acc: 0.7363
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 16 ============
 client 0| Loss: 0.3442 | Test  Acc: 0.7342
 client 1| Loss: 0.7872 | Test  Acc: 0.5306
 client 2| Loss: 0.3489 | Test  Acc: 0.7334
 client 3| Loss: 0.3429 | Test  Acc: 0.7377
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 17 ============
 client 0| Loss: 0.3443 | Test  Acc: 0.7428
 client 1| Loss: 0.7787 | Test  Acc: 0.5087
 client 2| Loss: 0.3409 | Test  Acc: 0.7312
 client 3| Loss: 0.3473 | Test  Acc: 0.7296
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 18 ============
 client 0| Loss: 0.3431 | Test  Acc: 0.7302
 client 1| Loss: 0.7633 | Test  Acc: 0.5143
 client 2| Loss: 0.3426 | Test  Acc: 0.7323
 client 3| Loss: 0.3402 | Test  Acc: 0.7361
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 19 ============
 client 0| Loss: 0.3386 | Test  Acc: 0.7317
