============ Train epoch 1 ============
 client 0| Loss: 0.7892 | Test  Acc: 0.9781
 client 1| Loss: 0.8072 | Test  Acc: 0.0973
 client 2| Loss: 0.7885 | Test  Acc: 0.9819
 client 3| Loss: 0.7881 | Test  Acc: 0.9808
 server  | Loss: 0.7885 | Test  Acc: 0.9819============ Train epoch 2 ============
 client 0| Loss: 0.4269 | Test  Acc: 0.9880
 client 1| Loss: 0.4732 | Test  Acc: 0.1336
 client 2| Loss: 0.4287 | Test  Acc: 0.9872
 client 3| Loss: 0.4254 | Test  Acc: 0.9825
 server  | Loss: 0.4269 | Test  Acc: 0.9880============ Train epoch 3 ============
 client 0| Loss: 0.3613 | Test  Acc: 0.9879
 client 1| Loss: 0.3686 | Test  Acc: 0.1974
 client 2| Loss: 0.3584 | Test  Acc: 0.9896
 client 3| Loss: 0.3588 | Test  Acc: 0.9888
 server  | Loss: 0.3584 | Test  Acc: 0.9896============ Train epoch 4 ============
 client 0| Loss: 0.3132 | Test  Acc: 0.9907
 client 1| Loss: 0.3285 | Test  Acc: 0.1297
 client 2| Loss: 0.3067 | Test  Acc: 0.9891
 client 3| Loss: 0.3197 | Test  Acc: 0.9903
 server  | Loss: 0.3132 | Test  Acc: 0.9907============ Train epoch 5 ============
 client 0| Loss: 0.2999 | Test  Acc: 0.9907
 client 1| Loss: 0.3029 | Test  Acc: 0.0938
 client 2| Loss: 0.3015 | Test  Acc: 0.9892
 client 3| Loss: 0.3040 | Test  Acc: 0.9916
 server  | Loss: 0.3040 | Test  Acc: 0.9916============ Train epoch 6 ============
 client 0| Loss: 0.2955 | Test  Acc: 0.9908
 client 1| Loss: 0.2797 | Test  Acc: 0.1252
 client 2| Loss: 0.2854 | Test  Acc: 0.9912
 client 3| Loss: 0.2886 | Test  Acc: 0.9917
 server  | Loss: 0.2886 | Test  Acc: 0.9917============ Train epoch 7 ============
 client 0| Loss: 0.2771 | Test  Acc: 0.9923
 client 1| Loss: 0.2698 | Test  Acc: 0.1033
 client 2| Loss: 0.2861 | Test  Acc: 0.9906
 client 3| Loss: 0.2838 | Test  Acc: 0.9914
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 8 ============
 client 0| Loss: 0.2759 | Test  Acc: 0.9919
 client 1| Loss: 0.2787 | Test  Acc: 0.1681
 client 2| Loss: 0.2707 | Test  Acc: 0.9914
 client 3| Loss: 0.2680 | Test  Acc: 0.9922
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 9 ============
 client 0| Loss: 0.2568 | Test  Acc: 0.9912
 client 1| Loss: 0.2477 | Test  Acc: 0.1737
 client 2| Loss: 0.2675 | Test  Acc: 0.9919
 client 3| Loss: 0.2659 | Test  Acc: 0.9916
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 10 ============
