============ Train epoch 1 ============
 client 0| Loss: 0.8663 | Test  Acc: 0.9023
 client 1| Loss: 0.8255 | Test  Acc: 0.9461
 client 2| Loss: 0.7663 | Test  Acc: 0.5887
 client 3| Loss: 0.7917 | Test  Acc: 0.8106
 server  | Loss: 0.8255 | Test  Acc: 0.9461============ Train epoch 2 ============
 client 0| Loss: 0.5101 | Test  Acc: 0.9546
 client 1| Loss: 0.4908 | Test  Acc: 0.9594
 client 2| Loss: 0.4419 | Test  Acc: 0.6893
 client 3| Loss: 0.4571 | Test  Acc: 0.8606
 server  | Loss: 0.4908 | Test  Acc: 0.9594============ Train epoch 3 ============
 client 0| Loss: 0.4142 | Test  Acc: 0.9459
 client 1| Loss: 0.3835 | Test  Acc: 0.9692
 client 2| Loss: 0.3554 | Test  Acc: 0.5984
 client 3| Loss: 0.3764 | Test  Acc: 0.8674
 server  | Loss: 0.3835 | Test  Acc: 0.9692============ Train epoch 4 ============
 client 0| Loss: 0.3743 | Test  Acc: 0.9721
 client 1| Loss: 0.3700 | Test  Acc: 0.9746
 client 2| Loss: 0.3447 | Test  Acc: 0.7590
 client 3| Loss: 0.3543 | Test  Acc: 0.8979
 server  | Loss: 0.3700 | Test  Acc: 0.9746============ Train epoch 5 ============
 client 0| Loss: 0.3544 | Test  Acc: 0.9702
 client 1| Loss: 0.3242 | Test  Acc: 0.9745
 client 2| Loss: 0.3148 | Test  Acc: 0.6617
 client 3| Loss: 0.3130 | Test  Acc: 0.8776
 server  | Loss: 0.3700 | Test  Acc: 0.9746============ Train epoch 6 ============
 client 0| Loss: 0.3482 | Test  Acc: 0.9573
 client 1| Loss: 0.3333 | Test  Acc: 0.9755
 client 2| Loss: 0.3279 | Test  Acc: 0.7070
 client 3| Loss: 0.3329 | Test  Acc: 0.8921
 server  | Loss: 0.3333 | Test  Acc: 0.9755============ Train epoch 7 ============
 client 0| Loss: 0.3447 | Test  Acc: 0.9764
 client 1| Loss: 0.3177 | Test  Acc: 0.9787
 client 2| Loss: 0.3000 | Test  Acc: 0.6885
 client 3| Loss: 0.3016 | Test  Acc: 0.8898
 server  | Loss: 0.3177 | Test  Acc: 0.9787============ Train epoch 8 ============
 client 0| Loss: 0.3479 | Test  Acc: 0.9749
 client 1| Loss: 0.3188 | Test  Acc: 0.9697
 client 2| Loss: 0.3257 | Test  Acc: 0.6798
 client 3| Loss: 0.3147 | Test  Acc: 0.9165
 server  | Loss: 0.3177 | Test  Acc: 0.9787============ Train epoch 9 ============
 client 0| Loss: 0.3419 | Test  Acc: 0.9748
 client 1| Loss: 0.3348 | Test  Acc: 0.9743
 client 2| Loss: 0.3103 | Test  Acc: 0.7041
 client 3| Loss: 0.2941 | Test  Acc: 0.9039
 server  | Loss: 0.3177 | Test  Acc: 0.9787============ Train epoch 10 ============
 client 0| Loss: 0.3591 | Test  Acc: 0.9710
 client 1| Loss: 0.3257 | Test  Acc: 0.9787
 client 2| Loss: 0.3409 | Test  Acc: 0.6966
 client 3| Loss: 0.3114 | Test  Acc: 0.8937
 server  | Loss: 0.3177 | Test  Acc: 0.9787============ Train epoch 11 ============
 client 0| Loss: 0.3441 | Test  Acc: 0.9784
 client 1| Loss: 0.3437 | Test  Acc: 0.9761
 client 2| Loss: 0.3195 | Test  Acc: 0.7151
 client 3| Loss: 0.2981 | Test  Acc: 0.9038
 server  | Loss: 0.3177 | Test  Acc: 0.9787============ Train epoch 12 ============
 client 0| Loss: 0.3589 | Test  Acc: 0.9774
 client 1| Loss: 0.3298 | Test  Acc: 0.9747
 client 2| Loss: 0.3462 | Test  Acc: 0.6762
 client 3| Loss: 0.3027 | Test  Acc: 0.8921
 server  | Loss: 0.3177 | Test  Acc: 0.9787============ Train epoch 13 ============
 client 0| Loss: 0.3580 | Test  Acc: 0.9765
 client 1| Loss: 0.3439 | Test  Acc: 0.9735
 client 2| Loss: 0.3273 | Test  Acc: 0.7087
 client 3| Loss: 0.2955 | Test  Acc: 0.8947
 server  | Loss: 0.3177 | Test  Acc: 0.9787============ Train epoch 14 ============
 client 0| Loss: 0.3618 | Test  Acc: 0.9757
 client 1| Loss: 0.3320 | Test  Acc: 0.9740
 client 2| Loss: 0.3567 | Test  Acc: 0.6854
 client 3| Loss: 0.3028 | Test  Acc: 0.8959
 server  | Loss: 0.3177 | Test  Acc: 0.9787============ Train epoch 15 ============
 client 0| Loss: 0.3623 | Test  Acc: 0.9803
 client 1| Loss: 0.3503 | Test  Acc: 0.9806
 client 2| Loss: 0.3253 | Test  Acc: 0.7130
 client 3| Loss: 0.3010 | Test  Acc: 0.8874
 server  | Loss: 0.3503 | Test  Acc: 0.9806============ Train epoch 16 ============
 client 0| Loss: 0.3637 | Test  Acc: 0.9792
 client 1| Loss: 0.3279 | Test  Acc: 0.9744
 client 2| Loss: 0.3679 | Test  Acc: 0.6924
 client 3| Loss: 0.3039 | Test  Acc: 0.9034
