============ Train epoch 1 ============
 client 0| Loss: 0.9425 | Test  Acc: 0.9484
 client 1| Loss: 0.9533 | Test  Acc: 0.9496
 client 2| Loss: 0.8544 | Test  Acc: 0.9701
 client 3| Loss: 0.8189 | Test  Acc: 0.9451
 server  | Loss: 0.8544 | Test  Acc: 0.9701============ Train epoch 2 ============
 client 0| Loss: 0.5706 | Test  Acc: 0.9721
 client 1| Loss: 0.5689 | Test  Acc: 0.9759
 client 2| Loss: 0.5807 | Test  Acc: 0.9735
 client 3| Loss: 0.5239 | Test  Acc: 0.9836
 server  | Loss: 0.5239 | Test  Acc: 0.9836============ Train epoch 3 ============
 client 0| Loss: 0.4248 | Test  Acc: 0.9827
 client 1| Loss: 0.4203 | Test  Acc: 0.9777
 client 2| Loss: 0.4025 | Test  Acc: 0.9818
 client 3| Loss: 0.3913 | Test  Acc: 0.9794
 server  | Loss: 0.5239 | Test  Acc: 0.9836============ Train epoch 4 ============
 client 0| Loss: 0.3675 | Test  Acc: 0.9865
 client 1| Loss: 0.3667 | Test  Acc: 0.9849
 client 2| Loss: 0.3541 | Test  Acc: 0.9809
 client 3| Loss: 0.3517 | Test  Acc: 0.9860
 server  | Loss: 0.3675 | Test  Acc: 0.9865============ Train epoch 5 ============
 client 0| Loss: 0.3391 | Test  Acc: 0.9864
 client 1| Loss: 0.3365 | Test  Acc: 0.9877
 client 2| Loss: 0.3339 | Test  Acc: 0.9858
 client 3| Loss: 0.3245 | Test  Acc: 0.9870
 server  | Loss: 0.3365 | Test  Acc: 0.9877============ Train epoch 6 ============
 client 0| Loss: 0.3307 | Test  Acc: 0.9867
 client 1| Loss: 0.3337 | Test  Acc: 0.9854
 client 2| Loss: 0.3229 | Test  Acc: 0.9880
 client 3| Loss: 0.3178 | Test  Acc: 0.9895
 server  | Loss: 0.3178 | Test  Acc: 0.9895============ Train epoch 7 ============
 client 0| Loss: 0.3257 | Test  Acc: 0.9871
