============ Train epoch 1 ============
 client 0| Loss: 0.7887 | Test  Acc: 0.9803
 client 1| Loss: 0.8984 | Test  Acc: 0.9732
 client 2| Loss: 0.7887 | Test  Acc: 0.9813
 client 3| Loss: 0.7886 | Test  Acc: 0.9823
 server  | Loss: 0.7886 | Test  Acc: 0.9823============ Train epoch 2 ============
 client 0| Loss: 0.4927 | Test  Acc: 0.9883
 client 1| Loss: 0.5726 | Test  Acc: 0.9787
 client 2| Loss: 0.5063 | Test  Acc: 0.9850
 client 3| Loss: 0.5009 | Test  Acc: 0.9886
 server  | Loss: 0.5009 | Test  Acc: 0.9886============ Train epoch 3 ============
 client 0| Loss: 0.3379 | Test  Acc: 0.9899
 client 1| Loss: 0.4232 | Test  Acc: 0.9816
 client 2| Loss: 0.3211 | Test  Acc: 0.9906
 client 3| Loss: 0.3249 | Test  Acc: 0.9894
 server  | Loss: 0.3211 | Test  Acc: 0.9906============ Train epoch 4 ============
 client 0| Loss: 0.3150 | Test  Acc: 0.9896
 client 1| Loss: 0.4416 | Test  Acc: 0.9799
 client 2| Loss: 0.3273 | Test  Acc: 0.9907
 client 3| Loss: 0.3236 | Test  Acc: 0.9910
 server  | Loss: 0.3236 | Test  Acc: 0.9910============ Train epoch 5 ============
 client 0| Loss: 0.2945 | Test  Acc: 0.9911
 client 1| Loss: 0.4257 | Test  Acc: 0.9859
 client 2| Loss: 0.2880 | Test  Acc: 0.9905
 client 3| Loss: 0.2879 | Test  Acc: 0.9911
 server  | Loss: 0.2945 | Test  Acc: 0.9911============ Train epoch 6 ============
 client 0| Loss: 0.3048 | Test  Acc: 0.9913
 client 1| Loss: 0.4247 | Test  Acc: 0.9841
 client 2| Loss: 0.3112 | Test  Acc: 0.9909
 client 3| Loss: 0.3114 | Test  Acc: 0.9918
 server  | Loss: 0.3114 | Test  Acc: 0.9918============ Train epoch 7 ============
 client 0| Loss: 0.2929 | Test  Acc: 0.9919
 client 1| Loss: 0.4252 | Test  Acc: 0.9837
 client 2| Loss: 0.2929 | Test  Acc: 0.9914
 client 3| Loss: 0.2895 | Test  Acc: 0.9913
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 8 ============
 client 0| Loss: 0.3119 | Test  Acc: 0.9909
 client 1| Loss: 0.4075 | Test  Acc: 0.9850
 client 2| Loss: 0.3138 | Test  Acc: 0.9911
 client 3| Loss: 0.3120 | Test  Acc: 0.9913
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 9 ============
 client 0| Loss: 0.2995 | Test  Acc: 0.9917
 client 1| Loss: 0.4170 | Test  Acc: 0.9860
 client 2| Loss: 0.3011 | Test  Acc: 0.9914
 client 3| Loss: 0.2967 | Test  Acc: 0.9908
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 10 ============
 client 0| Loss: 0.3157 | Test  Acc: 0.9904
 client 1| Loss: 0.4084 | Test  Acc: 0.9856
 client 2| Loss: 0.3119 | Test  Acc: 0.9913
 client 3| Loss: 0.3109 | Test  Acc: 0.9914
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 11 ============
 client 0| Loss: 0.3042 | Test  Acc: 0.9916
 client 1| Loss: 0.4108 | Test  Acc: 0.9839
 client 2| Loss: 0.3049 | Test  Acc: 0.9911
 client 3| Loss: 0.3079 | Test  Acc: 0.9917
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 12 ============
 client 0| Loss: 0.3152 | Test  Acc: 0.9907
 client 1| Loss: 0.4154 | Test  Acc: 0.9835
 client 2| Loss: 0.3134 | Test  Acc: 0.9913
 client 3| Loss: 0.3108 | Test  Acc: 0.9911
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 13 ============
 client 0| Loss: 0.3067 | Test  Acc: 0.9918
 client 1| Loss: 0.4178 | Test  Acc: 0.9884
 client 2| Loss: 0.3096 | Test  Acc: 0.9913
 client 3| Loss: 0.3131 | Test  Acc: 0.9906
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 14 ============
 client 0| Loss: 0.3185 | Test  Acc: 0.9910
 client 1| Loss: 0.4205 | Test  Acc: 0.9825
 client 2| Loss: 0.3150 | Test  Acc: 0.9908
 client 3| Loss: 0.3063 | Test  Acc: 0.9907
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 15 ============
 client 0| Loss: 0.3129 | Test  Acc: 0.9898
 client 1| Loss: 0.4137 | Test  Acc: 0.9804
 client 2| Loss: 0.3120 | Test  Acc: 0.9905
 client 3| Loss: 0.3190 | Test  Acc: 0.9902
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 16 ============
 client 0| Loss: 0.3179 | Test  Acc: 0.9909
 client 1| Loss: 0.4181 | Test  Acc: 0.9836
 client 2| Loss: 0.3226 | Test  Acc: 0.9908
 client 3| Loss: 0.3174 | Test  Acc: 0.9907
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 17 ============
 client 0| Loss: 0.3239 | Test  Acc: 0.9904
 client 1| Loss: 0.4140 | Test  Acc: 0.9808
 client 2| Loss: 0.3251 | Test  Acc: 0.9908
 client 3| Loss: 0.3186 | Test  Acc: 0.9904
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 18 ============
 client 0| Loss: 0.3180 | Test  Acc: 0.9907
 client 1| Loss: 0.4115 | Test  Acc: 0.9859
 client 2| Loss: 0.3335 | Test  Acc: 0.9896
 client 3| Loss: 0.3283 | Test  Acc: 0.9897
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 19 ============
 client 0| Loss: 0.3241 | Test  Acc: 0.9899
 client 1| Loss: 0.4139 | Test  Acc: 0.9846
 client 2| Loss: 0.3300 | Test  Acc: 0.9897
 client 3| Loss: 0.3218 | Test  Acc: 0.9903
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 20 ============
 client 0| Loss: 0.3227 | Test  Acc: 0.9900
 client 1| Loss: 0.4146 | Test  Acc: 0.9866
 client 2| Loss: 0.3400 | Test  Acc: 0.9902
 client 3| Loss: 0.3331 | Test  Acc: 0.9900
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 21 ============
 client 0| Loss: 0.3350 | Test  Acc: 0.9905
 client 1| Loss: 0.4192 | Test  Acc: 0.9862
 client 2| Loss: 0.3286 | Test  Acc: 0.9887
 client 3| Loss: 0.3246 | Test  Acc: 0.9903
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 22 ============
 client 0| Loss: 0.3313 | Test  Acc: 0.9900
 client 1| Loss: 0.4184 | Test  Acc: 0.9814
 client 2| Loss: 0.3431 | Test  Acc: 0.9899
 client 3| Loss: 0.3390 | Test  Acc: 0.9894
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 23 ============
 client 0| Loss: 0.3382 | Test  Acc: 0.9899
 client 1| Loss: 0.4250 | Test  Acc: 0.9853
 client 2| Loss: 0.3379 | Test  Acc: 0.9892
 client 3| Loss: 0.3225 | Test  Acc: 0.9894
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 24 ============
 client 0| Loss: 0.3387 | Test  Acc: 0.9898
 client 1| Loss: 0.4232 | Test  Acc: 0.9844
 client 2| Loss: 0.3456 | Test  Acc: 0.9888
 client 3| Loss: 0.3425 | Test  Acc: 0.9900
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 25 ============
 client 0| Loss: 0.3434 | Test  Acc: 0.9892
 client 1| Loss: 0.4249 | Test  Acc: 0.9836
 client 2| Loss: 0.3415 | Test  Acc: 0.9893
 client 3| Loss: 0.3292 | Test  Acc: 0.9887
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 26 ============
 client 0| Loss: 0.3451 | Test  Acc: 0.9890
 client 1| Loss: 0.4271 | Test  Acc: 0.9857
 client 2| Loss: 0.3502 | Test  Acc: 0.9892
 client 3| Loss: 0.3367 | Test  Acc: 0.9898
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 27 ============
 client 0| Loss: 0.3461 | Test  Acc: 0.9893
 client 1| Loss: 0.4259 | Test  Acc: 0.9782
 client 2| Loss: 0.3442 | Test  Acc: 0.9896
 client 3| Loss: 0.3336 | Test  Acc: 0.9899
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 28 ============
 client 0| Loss: 0.3488 | Test  Acc: 0.9897
 client 1| Loss: 0.4209 | Test  Acc: 0.9836
 client 2| Loss: 0.3486 | Test  Acc: 0.9891
 client 3| Loss: 0.3404 | Test  Acc: 0.9899
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 29 ============
 client 0| Loss: 0.3579 | Test  Acc: 0.9892
 client 1| Loss: 0.4221 | Test  Acc: 0.9854
 client 2| Loss: 0.3500 | Test  Acc: 0.9893
 client 3| Loss: 0.3449 | Test  Acc: 0.9892
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 30 ============
 client 0| Loss: 0.3507 | Test  Acc: 0.9889
 client 1| Loss: 0.4351 | Test  Acc: 0.9839
 client 2| Loss: 0.3575 | Test  Acc: 0.9891
 client 3| Loss: 0.3399 | Test  Acc: 0.9903
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 31 ============
 client 0| Loss: 0.3566 | Test  Acc: 0.9883
 client 1| Loss: 0.4114 | Test  Acc: 0.9817
 client 2| Loss: 0.3511 | Test  Acc: 0.9880
 client 3| Loss: 0.3554 | Test  Acc: 0.9892
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 32 ============
 client 0| Loss: 0.3533 | Test  Acc: 0.9896
 client 1| Loss: 0.4388 | Test  Acc: 0.9822
 client 2| Loss: 0.3604 | Test  Acc: 0.9891
 client 3| Loss: 0.3434 | Test  Acc: 0.9886
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 33 ============
 client 0| Loss: 0.3594 | Test  Acc: 0.9879
 client 1| Loss: 0.4150 | Test  Acc: 0.9834
 client 2| Loss: 0.3540 | Test  Acc: 0.9885
 client 3| Loss: 0.3641 | Test  Acc: 0.9892
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 34 ============
 client 0| Loss: 0.3615 | Test  Acc: 0.9891
 client 1| Loss: 0.4440 | Test  Acc: 0.9817
 client 2| Loss: 0.3616 | Test  Acc: 0.9893
 client 3| Loss: 0.3565 | Test  Acc: 0.9884
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 35 ============
 client 0| Loss: 0.3539 | Test  Acc: 0.9873
 client 1| Loss: 0.4177 | Test  Acc: 0.9867
 client 2| Loss: 0.3581 | Test  Acc: 0.9880
 client 3| Loss: 0.3666 | Test  Acc: 0.9883
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 36 ============
 client 0| Loss: 0.3655 | Test  Acc: 0.9881
 client 1| Loss: 0.4316 | Test  Acc: 0.9781
 client 2| Loss: 0.3664 | Test  Acc: 0.9888
 client 3| Loss: 0.3624 | Test  Acc: 0.9886
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 37 ============
 client 0| Loss: 0.3583 | Test  Acc: 0.9879
 client 1| Loss: 0.4288 | Test  Acc: 0.9846
 client 2| Loss: 0.3599 | Test  Acc: 0.9874
 client 3| Loss: 0.3663 | Test  Acc: 0.9888
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 38 ============
 client 0| Loss: 0.3666 | Test  Acc: 0.9882
 client 1| Loss: 0.4340 | Test  Acc: 0.9830
 client 2| Loss: 0.3654 | Test  Acc: 0.9882
 client 3| Loss: 0.3640 | Test  Acc: 0.9886
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 39 ============
 client 0| Loss: 0.3582 | Test  Acc: 0.9883
 client 1| Loss: 0.4248 | Test  Acc: 0.9819
 client 2| Loss: 0.3621 | Test  Acc: 0.9869
 client 3| Loss: 0.3621 | Test  Acc: 0.9877
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 40 ============
 client 0| Loss: 0.3666 | Test  Acc: 0.9882
 client 1| Loss: 0.4515 | Test  Acc: 0.9782
 client 2| Loss: 0.3631 | Test  Acc: 0.9891
 client 3| Loss: 0.3701 | Test  Acc: 0.9877
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 41 ============
 client 0| Loss: 0.3672 | Test  Acc: 0.9871
 client 1| Loss: 0.4379 | Test  Acc: 0.9821
 client 2| Loss: 0.3643 | Test  Acc: 0.9877
 client 3| Loss: 0.3605 | Test  Acc: 0.9869
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 42 ============
 client 0| Loss: 0.3563 | Test  Acc: 0.9883
 client 1| Loss: 0.4442 | Test  Acc: 0.9818
 client 2| Loss: 0.3724 | Test  Acc: 0.9875
 client 3| Loss: 0.3693 | Test  Acc: 0.9889
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 43 ============
 client 0| Loss: 0.3615 | Test  Acc: 0.9889
 client 1| Loss: 0.4437 | Test  Acc: 0.9836
 client 2| Loss: 0.3681 | Test  Acc: 0.9868
 client 3| Loss: 0.3615 | Test  Acc: 0.9871
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 44 ============
 client 0| Loss: 0.3595 | Test  Acc: 0.9885
 client 1| Loss: 0.4581 | Test  Acc: 0.9731
 client 2| Loss: 0.3709 | Test  Acc: 0.9874
 client 3| Loss: 0.3715 | Test  Acc: 0.9886
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 45 ============
 client 0| Loss: 0.3688 | Test  Acc: 0.9881
 client 1| Loss: 0.4406 | Test  Acc: 0.9667
 client 2| Loss: 0.3717 | Test  Acc: 0.9866
 client 3| Loss: 0.3709 | Test  Acc: 0.9870
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 46 ============
 client 0| Loss: 0.3642 | Test  Acc: 0.9873
 client 1| Loss: 0.4387 | Test  Acc: 0.9818
 client 2| Loss: 0.3733 | Test  Acc: 0.9871
 client 3| Loss: 0.3738 | Test  Acc: 0.9876
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 47 ============
 client 0| Loss: 0.3648 | Test  Acc: 0.9881
 client 1| Loss: 0.4529 | Test  Acc: 0.9757
 client 2| Loss: 0.3608 | Test  Acc: 0.9877
 client 3| Loss: 0.3627 | Test  Acc: 0.9872
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 48 ============
 client 0| Loss: 0.3599 | Test  Acc: 0.9872
 client 1| Loss: 0.4236 | Test  Acc: 0.9721
 client 2| Loss: 0.3628 | Test  Acc: 0.9881
 client 3| Loss: 0.3678 | Test  Acc: 0.9879
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 49 ============
 client 0| Loss: 0.3666 | Test  Acc: 0.9874
 client 1| Loss: 0.4492 | Test  Acc: 0.9825
 client 2| Loss: 0.3609 | Test  Acc: 0.9876
 client 3| Loss: 0.3656 | Test  Acc: 0.9856
 server  | Loss: 0.2929 | Test  Acc: 0.9919============ Train epoch 50 ============
 client 0| Loss: 0.3609 | Test  Acc: 0.9868
 client 1| Loss: 0.4427 | Test  Acc: 0.9730
 client 2| Loss: 0.3627 | Test  Acc: 0.9853
 client 3| Loss: 0.3683 | Test  Acc: 0.9868
 server  | Loss: 0.2929 | Test  Acc: 0.9919
