============ Train epoch 1 ============
 client 0| Loss: 0.7639 | Test  Acc: 0.5901
 client 1| Loss: 0.7086 | Test  Acc: 0.1137
 client 2| Loss: 0.7082 | Test  Acc: 0.1028
 client 3| Loss: 0.7439 | Test  Acc: 0.3997
 server  | Loss: 0.7639 | Test  Acc: 0.5901============ Train epoch 2 ============
 client 0| Loss: 0.4366 | Test  Acc: 0.5883
 client 1| Loss: 0.3636 | Test  Acc: 0.1134
 client 2| Loss: 0.3826 | Test  Acc: 0.1027
 client 3| Loss: 0.3822 | Test  Acc: 0.4013
 server  | Loss: 0.7639 | Test  Acc: 0.5901============ Train epoch 3 ============
 client 0| Loss: 0.3754 | Test  Acc: 0.5903
 client 1| Loss: 0.3964 | Test  Acc: 0.1136
 client 2| Loss: 0.4310 | Test  Acc: 0.1026
 client 3| Loss: 0.3643 | Test  Acc: 0.4012
 server  | Loss: 0.3754 | Test  Acc: 0.5903============ Train epoch 4 ============
 client 0| Loss: 0.3751 | Test  Acc: 0.5905
 client 1| Loss: 0.3062 | Test  Acc: 0.1138
 client 2| Loss: 0.3448 | Test  Acc: 0.1027
 client 3| Loss: 0.3492 | Test  Acc: 0.4010
 server  | Loss: 0.3751 | Test  Acc: 0.5905============ Train epoch 5 ============
 client 0| Loss: 0.3431 | Test  Acc: 0.5922
 client 1| Loss: 0.3458 | Test  Acc: 0.1134
 client 2| Loss: 0.3602 | Test  Acc: 0.1028
 client 3| Loss: 0.3296 | Test  Acc: 0.4010
 server  | Loss: 0.3431 | Test  Acc: 0.5922============ Train epoch 6 ============
 client 0| Loss: 0.3596 | Test  Acc: 0.5924
 client 1| Loss: 0.3051 | Test  Acc: 0.1137
 client 2| Loss: 0.3443 | Test  Acc: 0.1027
 client 3| Loss: 0.3414 | Test  Acc: 0.4001
 server  | Loss: 0.3596 | Test  Acc: 0.5924============ Train epoch 7 ============
 client 0| Loss: 0.3413 | Test  Acc: 0.5929
 client 1| Loss: 0.3001 | Test  Acc: 0.1135
 client 2| Loss: 0.3406 | Test  Acc: 0.1028
 client 3| Loss: 0.3390 | Test  Acc: 0.4008
 server  | Loss: 0.3413 | Test  Acc: 0.5929============ Train epoch 8 ============
 client 0| Loss: 0.3670 | Test  Acc: 0.5921
 client 1| Loss: 0.5148 | Test  Acc: 0.1136
 client 2| Loss: 0.3692 | Test  Acc: 0.1030
 client 3| Loss: 0.3547 | Test  Acc: 0.4010
 server  | Loss: 0.3413 | Test  Acc: 0.5929============ Train epoch 9 ============
 client 0| Loss: 0.3423 | Test  Acc: 0.5937
 client 1| Loss: 0.3473 | Test  Acc: 0.1135
 client 2| Loss: 0.3319 | Test  Acc: 0.1028
 client 3| Loss: 0.3534 | Test  Acc: 0.4006
 server  | Loss: 0.3423 | Test  Acc: 0.5937============ Train epoch 10 ============
 client 0| Loss: 0.3570 | Test  Acc: 0.5960
 client 1| Loss: 0.3530 | Test  Acc: 0.1136
 client 2| Loss: 0.3523 | Test  Acc: 0.1026
 client 3| Loss: 0.3491 | Test  Acc: 0.3998
 server  | Loss: 0.3570 | Test  Acc: 0.5960============ Train epoch 11 ============
 client 0| Loss: 0.3695 | Test  Acc: 0.5927
 client 1| Loss: 0.3313 | Test  Acc: 0.1135
 client 2| Loss: 0.3596 | Test  Acc: 0.1028
 client 3| Loss: 0.3960 | Test  Acc: 0.4015
 server  | Loss: 0.3570 | Test  Acc: 0.5960============ Train epoch 12 ============
 client 0| Loss: 0.3531 | Test  Acc: 0.5981
 client 1| Loss: 0.3433 | Test  Acc: 0.1133
 client 2| Loss: 0.3654 | Test  Acc: 0.1029
 client 3| Loss: 0.3451 | Test  Acc: 0.4012
 server  | Loss: 0.3531 | Test  Acc: 0.5981============ Train epoch 13 ============
 client 0| Loss: 0.3642 | Test  Acc: 0.5999
 client 1| Loss: 0.3289 | Test  Acc: 0.1136
 client 2| Loss: 0.3430 | Test  Acc: 0.1027
 client 3| Loss: 0.3710 | Test  Acc: 0.4017
 server  | Loss: 0.3642 | Test  Acc: 0.5999============ Train epoch 14 ============
 client 0| Loss: 0.3473 | Test  Acc: 0.5990
 client 1| Loss: 0.3254 | Test  Acc: 0.1135
 client 2| Loss: 0.3394 | Test  Acc: 0.1029
 client 3| Loss: 0.3510 | Test  Acc: 0.4007
 server  | Loss: 0.3642 | Test  Acc: 0.5999============ Train epoch 15 ============
 client 0| Loss: 0.3905 | Test  Acc: 0.6030
 client 1| Loss: 0.4379 | Test  Acc: 0.1134
 client 2| Loss: 0.3563 | Test  Acc: 0.1028
 client 3| Loss: 0.3424 | Test  Acc: 0.4019
 server  | Loss: 0.3905 | Test  Acc: 0.6030============ Train epoch 16 ============
 client 0| Loss: 0.3713 | Test  Acc: 0.5937
 client 1| Loss: 0.3396 | Test  Acc: 0.1136
 client 2| Loss: 0.3827 | Test  Acc: 0.1029
 client 3| Loss: 0.3575 | Test  Acc: 0.4021
 server  | Loss: 0.3905 | Test  Acc: 0.6030============ Train epoch 17 ============
 client 0| Loss: 0.3488 | Test  Acc: 0.6036
 client 1| Loss: 0.3427 | Test  Acc: 0.1137
 client 2| Loss: 0.4015 | Test  Acc: 0.1036
 client 3| Loss: 0.3504 | Test  Acc: 0.4024
 server  | Loss: 0.3488 | Test  Acc: 0.6036============ Train epoch 18 ============
 client 0| Loss: 0.3690 | Test  Acc: 0.6025
 client 1| Loss: 0.3253 | Test  Acc: 0.1139
 client 2| Loss: 0.3670 | Test  Acc: 0.1039
 client 3| Loss: 0.3413 | Test  Acc: 0.4027
 server  | Loss: 0.3488 | Test  Acc: 0.6036============ Train epoch 19 ============
 client 0| Loss: 0.3453 | Test  Acc: 0.6026
 client 1| Loss: 0.3490 | Test  Acc: 0.1153
 client 2| Loss: 0.3782 | Test  Acc: 0.1032
 client 3| Loss: 0.3559 | Test  Acc: 0.4027
 server  | Loss: 0.3488 | Test  Acc: 0.6036============ Train epoch 20 ============
 client 0| Loss: 0.3697 | Test  Acc: 0.5969
 client 1| Loss: 0.3646 | Test  Acc: 0.1142
 client 2| Loss: 0.3579 | Test  Acc: 0.1057
 client 3| Loss: 0.3445 | Test  Acc: 0.4023
 server  | Loss: 0.3488 | Test  Acc: 0.6036============ Train epoch 21 ============
 client 0| Loss: 0.3456 | Test  Acc: 0.5980
 client 1| Loss: 0.3232 | Test  Acc: 0.1492
 client 2| Loss: 0.3719 | Test  Acc: 0.1069
 client 3| Loss: 0.3546 | Test  Acc: 0.4064
 server  | Loss: 0.3488 | Test  Acc: 0.6036============ Train epoch 22 ============
 client 0| Loss: 0.3725 | Test  Acc: 0.5954
 client 1| Loss: 0.3555 | Test  Acc: 0.1137
 client 2| Loss: 0.3379 | Test  Acc: 0.1115
 client 3| Loss: 0.3523 | Test  Acc: 0.4029
 server  | Loss: 0.3488 | Test  Acc: 0.6036============ Train epoch 23 ============
 client 0| Loss: 0.3456 | Test  Acc: 0.6071
 client 1| Loss: 0.3901 | Test  Acc: 0.1207
 client 2| Loss: 0.3673 | Test  Acc: 0.1150
 client 3| Loss: 0.3481 | Test  Acc: 0.4096
 server  | Loss: 0.3456 | Test  Acc: 0.6071============ Train epoch 24 ============
 client 0| Loss: 0.3553 | Test  Acc: 0.6086
 client 1| Loss: 0.3752 | Test  Acc: 0.1140
 client 2| Loss: 0.3536 | Test  Acc: 0.1161
 client 3| Loss: 0.3553 | Test  Acc: 0.4098
 server  | Loss: 0.3553 | Test  Acc: 0.6086============ Train epoch 25 ============
 client 0| Loss: 0.3629 | Test  Acc: 0.6165
 client 1| Loss: 0.3350 | Test  Acc: 0.1170
 client 2| Loss: 0.3500 | Test  Acc: 0.1087
 client 3| Loss: 0.3448 | Test  Acc: 0.4099
 server  | Loss: 0.3629 | Test  Acc: 0.6165============ Train epoch 26 ============
 client 0| Loss: 0.3596 | Test  Acc: 0.6019
 client 1| Loss: 0.3832 | Test  Acc: 0.1152
 client 2| Loss: 0.3512 | Test  Acc: 0.1066
 client 3| Loss: 0.3711 | Test  Acc: 0.3995
 server  | Loss: 0.3629 | Test  Acc: 0.6165============ Train epoch 27 ============
 client 0| Loss: 0.3274 | Test  Acc: 0.6176
 client 1| Loss: 0.3426 | Test  Acc: 0.1149
 client 2| Loss: 0.3489 | Test  Acc: 0.1080
 client 3| Loss: 0.3622 | Test  Acc: 0.4047
 server  | Loss: 0.3274 | Test  Acc: 0.6176============ Train epoch 28 ============
 client 0| Loss: 0.3702 | Test  Acc: 0.5999
 client 1| Loss: 0.3684 | Test  Acc: 0.1191
 client 2| Loss: 0.3647 | Test  Acc: 0.1696
 client 3| Loss: 0.3656 | Test  Acc: 0.4026
 server  | Loss: 0.3274 | Test  Acc: 0.6176============ Train epoch 29 ============
 client 0| Loss: 0.2900 | Test  Acc: 0.6001
 client 1| Loss: 0.3194 | Test  Acc: 0.1152
 client 2| Loss: 0.3435 | Test  Acc: 0.1221
 client 3| Loss: 0.3584 | Test  Acc: 0.4058
 server  | Loss: 0.3274 | Test  Acc: 0.6176============ Train epoch 30 ============
 client 0| Loss: 0.3621 | Test  Acc: 0.6059
 client 1| Loss: 0.4213 | Test  Acc: 0.1881
 client 2| Loss: 0.4613 | Test  Acc: 0.1220
 client 3| Loss: 0.3995 | Test  Acc: 0.4111
 server  | Loss: 0.3274 | Test  Acc: 0.6176============ Train epoch 31 ============
 client 0| Loss: 0.3309 | Test  Acc: 0.6060
 client 1| Loss: 0.3476 | Test  Acc: 0.1265
 client 2| Loss: 0.3742 | Test  Acc: 0.1377
 client 3| Loss: 0.3605 | Test  Acc: 0.4111
 server  | Loss: 0.3274 | Test  Acc: 0.6176============ Train epoch 32 ============
 client 0| Loss: 0.3841 | Test  Acc: 0.6041
 client 1| Loss: 0.3776 | Test  Acc: 0.1419
 client 2| Loss: 0.3614 | Test  Acc: 0.1621
 client 3| Loss: 0.3471 | Test  Acc: 0.4225
 server  | Loss: 0.3274 | Test  Acc: 0.6176============ Train epoch 33 ============
 client 0| Loss: 0.3186 | Test  Acc: 0.6246
 client 1| Loss: 0.3476 | Test  Acc: 0.1337
 client 2| Loss: 0.3442 | Test  Acc: 0.1430
 client 3| Loss: 0.3618 | Test  Acc: 0.4150
