============ Train epoch 1 ============
 client 0| Loss: 0.7887 | Test  Acc: 0.9826
 client 1| Loss: 0.7872 | Test  Acc: 0.9786
 client 2| Loss: 0.7882 | Test  Acc: 0.9868
 client 3| Loss: 0.7888 | Test  Acc: 0.9838
 server  | Loss: 0.7882 | Test  Acc: 0.9868============ Train epoch 2 ============
 client 0| Loss: 0.5070 | Test  Acc: 0.9855
 client 1| Loss: 0.5112 | Test  Acc: 0.9861
 client 2| Loss: 0.5038 | Test  Acc: 0.9881
 client 3| Loss: 0.4964 | Test  Acc: 0.9880
 server  | Loss: 0.5038 | Test  Acc: 0.9881============ Train epoch 3 ============
 client 0| Loss: 0.3310 | Test  Acc: 0.9903
 client 1| Loss: 0.3150 | Test  Acc: 0.9893
 client 2| Loss: 0.3329 | Test  Acc: 0.9897
 client 3| Loss: 0.3303 | Test  Acc: 0.9891
 server  | Loss: 0.3310 | Test  Acc: 0.9903============ Train epoch 4 ============
 client 0| Loss: 0.3232 | Test  Acc: 0.9900
 client 1| Loss: 0.3201 | Test  Acc: 0.9896
 client 2| Loss: 0.3172 | Test  Acc: 0.9904
 client 3| Loss: 0.3123 | Test  Acc: 0.9920
 server  | Loss: 0.3123 | Test  Acc: 0.9920============ Train epoch 5 ============
 client 0| Loss: 0.2985 | Test  Acc: 0.9908
 client 1| Loss: 0.2946 | Test  Acc: 0.9911
 client 2| Loss: 0.3005 | Test  Acc: 0.9912
 client 3| Loss: 0.2993 | Test  Acc: 0.9902
 server  | Loss: 0.3123 | Test  Acc: 0.9920============ Train epoch 6 ============
 client 0| Loss: 0.3112 | Test  Acc: 0.9908
 client 1| Loss: 0.3102 | Test  Acc: 0.9912
 client 2| Loss: 0.3045 | Test  Acc: 0.9910
 client 3| Loss: 0.3010 | Test  Acc: 0.9917
 server  | Loss: 0.3123 | Test  Acc: 0.9920============ Train epoch 7 ============
 client 0| Loss: 0.2992 | Test  Acc: 0.9922
 client 1| Loss: 0.3013 | Test  Acc: 0.9914
 client 2| Loss: 0.3065 | Test  Acc: 0.9912
 client 3| Loss: 0.3013 | Test  Acc: 0.9886
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 8 ============
 client 0| Loss: 0.3118 | Test  Acc: 0.9915
 client 1| Loss: 0.3134 | Test  Acc: 0.9891
 client 2| Loss: 0.3053 | Test  Acc: 0.9903
 client 3| Loss: 0.3081 | Test  Acc: 0.9911
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 9 ============
 client 0| Loss: 0.3072 | Test  Acc: 0.9908
 client 1| Loss: 0.3010 | Test  Acc: 0.9898
 client 2| Loss: 0.3099 | Test  Acc: 0.9911
 client 3| Loss: 0.3086 | Test  Acc: 0.9919
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 10 ============
 client 0| Loss: 0.3188 | Test  Acc: 0.9911
 client 1| Loss: 0.3167 | Test  Acc: 0.9916
 client 2| Loss: 0.3097 | Test  Acc: 0.9918
 client 3| Loss: 0.3153 | Test  Acc: 0.9913
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 11 ============
 client 0| Loss: 0.3109 | Test  Acc: 0.9905
 client 1| Loss: 0.3121 | Test  Acc: 0.9914
 client 2| Loss: 0.3166 | Test  Acc: 0.9905
 client 3| Loss: 0.3172 | Test  Acc: 0.9922
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 12 ============
 client 0| Loss: 0.3174 | Test  Acc: 0.9913
 client 1| Loss: 0.3231 | Test  Acc: 0.9906
 client 2| Loss: 0.3166 | Test  Acc: 0.9911
 client 3| Loss: 0.3228 | Test  Acc: 0.9902
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 13 ============
 client 0| Loss: 0.3264 | Test  Acc: 0.9912
 client 1| Loss: 0.3198 | Test  Acc: 0.9914
 client 2| Loss: 0.3243 | Test  Acc: 0.9914
 client 3| Loss: 0.3282 | Test  Acc: 0.9908
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 14 ============
 client 0| Loss: 0.3243 | Test  Acc: 0.9912
 client 1| Loss: 0.3285 | Test  Acc: 0.9904
 client 2| Loss: 0.3264 | Test  Acc: 0.9917
 client 3| Loss: 0.3296 | Test  Acc: 0.9904
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 15 ============
 client 0| Loss: 0.3357 | Test  Acc: 0.9915
 client 1| Loss: 0.3233 | Test  Acc: 0.9913
 client 2| Loss: 0.3333 | Test  Acc: 0.9915
 client 3| Loss: 0.3352 | Test  Acc: 0.9905
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 16 ============
 client 0| Loss: 0.3297 | Test  Acc: 0.9901
 client 1| Loss: 0.3332 | Test  Acc: 0.9909
 client 2| Loss: 0.3321 | Test  Acc: 0.9911
 client 3| Loss: 0.3394 | Test  Acc: 0.9892
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 17 ============
 client 0| Loss: 0.3393 | Test  Acc: 0.9920
 client 1| Loss: 0.3271 | Test  Acc: 0.9906
 client 2| Loss: 0.3458 | Test  Acc: 0.9906
 client 3| Loss: 0.3395 | Test  Acc: 0.9902
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 18 ============
 client 0| Loss: 0.3377 | Test  Acc: 0.9902
 client 1| Loss: 0.3366 | Test  Acc: 0.9902
 client 2| Loss: 0.3365 | Test  Acc: 0.9911
 client 3| Loss: 0.3463 | Test  Acc: 0.9901
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 19 ============
 client 0| Loss: 0.3399 | Test  Acc: 0.9902
 client 1| Loss: 0.3290 | Test  Acc: 0.9908
 client 2| Loss: 0.3428 | Test  Acc: 0.9912
 client 3| Loss: 0.3480 | Test  Acc: 0.9890
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 20 ============
 client 0| Loss: 0.3426 | Test  Acc: 0.9901
 client 1| Loss: 0.3414 | Test  Acc: 0.9893
 client 2| Loss: 0.3411 | Test  Acc: 0.9900
 client 3| Loss: 0.3458 | Test  Acc: 0.9900
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 21 ============
 client 0| Loss: 0.3458 | Test  Acc: 0.9880
 client 1| Loss: 0.3330 | Test  Acc: 0.9900
 client 2| Loss: 0.3465 | Test  Acc: 0.9895
 client 3| Loss: 0.3444 | Test  Acc: 0.9894
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 22 ============
