============ Train epoch 1 ============
 client 0| Loss: 1.0593 | Test  Acc: 0.9053
 client 1| Loss: 1.0777 | Test  Acc: 0.8734
 client 2| Loss: 1.0600 | Test  Acc: 0.9156
 client 3| Loss: 1.0592 | Test  Acc: 0.9081
 server  | Loss: 1.0600 | Test  Acc: 0.9156============ Train epoch 2 ============
 client 0| Loss: 0.6452 | Test  Acc: 0.9211
 client 1| Loss: 0.6379 | Test  Acc: 0.8940
 client 2| Loss: 0.6395 | Test  Acc: 0.9200
 client 3| Loss: 0.6405 | Test  Acc: 0.9175
 server  | Loss: 0.6452 | Test  Acc: 0.9211============ Train epoch 3 ============
 client 0| Loss: 0.4741 | Test  Acc: 0.9176
 client 1| Loss: 0.4692 | Test  Acc: 0.8861
 client 2| Loss: 0.4733 | Test  Acc: 0.9203
 client 3| Loss: 0.4717 | Test  Acc: 0.9239
 server  | Loss: 0.4717 | Test  Acc: 0.9239============ Train epoch 4 ============
 client 0| Loss: 0.4066 | Test  Acc: 0.9237
 client 1| Loss: 0.4040 | Test  Acc: 0.8919
 client 2| Loss: 0.4047 | Test  Acc: 0.9250
 client 3| Loss: 0.4027 | Test  Acc: 0.9235
 server  | Loss: 0.4047 | Test  Acc: 0.9250============ Train epoch 5 ============
 client 0| Loss: 0.3584 | Test  Acc: 0.9283
 client 1| Loss: 0.3541 | Test  Acc: 0.8980
 client 2| Loss: 0.3579 | Test  Acc: 0.9294
 client 3| Loss: 0.3618 | Test  Acc: 0.9258
 server  | Loss: 0.3579 | Test  Acc: 0.9294============ Train epoch 6 ============
 client 0| Loss: 0.3377 | Test  Acc: 0.9300
 client 1| Loss: 0.3406 | Test  Acc: 0.9064
 client 2| Loss: 0.3399 | Test  Acc: 0.9317
 client 3| Loss: 0.3370 | Test  Acc: 0.9329
 server  | Loss: 0.3370 | Test  Acc: 0.9329============ Train epoch 7 ============
 client 0| Loss: 0.3270 | Test  Acc: 0.9331
 client 1| Loss: 0.3269 | Test  Acc: 0.9134
 client 2| Loss: 0.3266 | Test  Acc: 0.9309
 client 3| Loss: 0.3295 | Test  Acc: 0.9311
