============ Train epoch 1 ============
 client 0| Loss: 1.1447 | Test  Acc: 0.7665
 client 1| Loss: 1.0123 | Test  Acc: 0.5182
 client 2| Loss: 1.1035 | Test  Acc: 0.6330
 client 3| Loss: 1.0090 | Test  Acc: 0.5504
 server  | Loss: 1.1447 | Test  Acc: 0.7665============ Train epoch 2 ============
 client 0| Loss: 0.7391 | Test  Acc: 0.7793
 client 1| Loss: 0.6247 | Test  Acc: 0.5401
 client 2| Loss: 0.6736 | Test  Acc: 0.6816
 client 3| Loss: 0.6171 | Test  Acc: 0.6229
 server  | Loss: 0.7391 | Test  Acc: 0.7793============ Train epoch 3 ============
 client 0| Loss: 0.6246 | Test  Acc: 0.8041
 client 1| Loss: 0.5506 | Test  Acc: 0.5377
 client 2| Loss: 0.5749 | Test  Acc: 0.7283
 client 3| Loss: 0.5505 | Test  Acc: 0.6506
 server  | Loss: 0.6246 | Test  Acc: 0.8041============ Train epoch 4 ============
 client 0| Loss: 0.5532 | Test  Acc: 0.8104
 client 1| Loss: 0.4976 | Test  Acc: 0.5801
 client 2| Loss: 0.5160 | Test  Acc: 0.7483
 client 3| Loss: 0.5019 | Test  Acc: 0.6858
 server  | Loss: 0.5532 | Test  Acc: 0.8104============ Train epoch 5 ============
 client 0| Loss: 0.5058 | Test  Acc: 0.8249
 client 1| Loss: 0.4586 | Test  Acc: 0.5542
 client 2| Loss: 0.4738 | Test  Acc: 0.7526
 client 3| Loss: 0.4662 | Test  Acc: 0.6784
 server  | Loss: 0.5058 | Test  Acc: 0.8249============ Train epoch 6 ============
 client 0| Loss: 0.4711 | Test  Acc: 0.8228
 client 1| Loss: 0.4382 | Test  Acc: 0.6080
 client 2| Loss: 0.4485 | Test  Acc: 0.7479
 client 3| Loss: 0.4491 | Test  Acc: 0.6726
 server  | Loss: 0.5058 | Test  Acc: 0.8249============ Train epoch 7 ============
 client 0| Loss: 0.4452 | Test  Acc: 0.8210
 client 1| Loss: 0.4123 | Test  Acc: 0.5740
 client 2| Loss: 0.4184 | Test  Acc: 0.7697
 client 3| Loss: 0.4262 | Test  Acc: 0.6791
 server  | Loss: 0.5058 | Test  Acc: 0.8249============ Train epoch 8 ============
 client 0| Loss: 0.4233 | Test  Acc: 0.8489
 client 1| Loss: 0.3998 | Test  Acc: 0.6536
 client 2| Loss: 0.4059 | Test  Acc: 0.7686
 client 3| Loss: 0.4118 | Test  Acc: 0.6847
 server  | Loss: 0.4233 | Test  Acc: 0.8489============ Train epoch 9 ============
 client 0| Loss: 0.4082 | Test  Acc: 0.8412
 client 1| Loss: 0.3854 | Test  Acc: 0.6014
 client 2| Loss: 0.3908 | Test  Acc: 0.7696
 client 3| Loss: 0.3937 | Test  Acc: 0.7007
 server  | Loss: 0.4233 | Test  Acc: 0.8489============ Train epoch 10 ============
 client 0| Loss: 0.3921 | Test  Acc: 0.8512
 client 1| Loss: 0.3776 | Test  Acc: 0.6280
 client 2| Loss: 0.3793 | Test  Acc: 0.8012
 client 3| Loss: 0.3910 | Test  Acc: 0.7318
 server  | Loss: 0.3921 | Test  Acc: 0.8512============ Train epoch 11 ============
 client 0| Loss: 0.3874 | Test  Acc: 0.8562
 client 1| Loss: 0.3669 | Test  Acc: 0.6007
 client 2| Loss: 0.3698 | Test  Acc: 0.7955
 client 3| Loss: 0.3721 | Test  Acc: 0.7107
 server  | Loss: 0.3874 | Test  Acc: 0.8562============ Train epoch 12 ============
 client 0| Loss: 0.3724 | Test  Acc: 0.8604
 client 1| Loss: 0.3660 | Test  Acc: 0.6235
 client 2| Loss: 0.3618 | Test  Acc: 0.7977
 client 3| Loss: 0.3692 | Test  Acc: 0.7442
 server  | Loss: 0.3724 | Test  Acc: 0.8604============ Train epoch 13 ============
 client 0| Loss: 0.3657 | Test  Acc: 0.8451
 client 1| Loss: 0.3592 | Test  Acc: 0.6475
 client 2| Loss: 0.3598 | Test  Acc: 0.7932
 client 3| Loss: 0.3611 | Test  Acc: 0.7287
 server  | Loss: 0.3724 | Test  Acc: 0.8604============ Train epoch 14 ============
 client 0| Loss: 0.3590 | Test  Acc: 0.8570
 client 1| Loss: 0.3560 | Test  Acc: 0.6397
 client 2| Loss: 0.3546 | Test  Acc: 0.8080
 client 3| Loss: 0.3595 | Test  Acc: 0.7308
 server  | Loss: 0.3724 | Test  Acc: 0.8604============ Train epoch 15 ============
 client 0| Loss: 0.3569 | Test  Acc: 0.8619
 client 1| Loss: 0.3544 | Test  Acc: 0.6453
 client 2| Loss: 0.3518 | Test  Acc: 0.7650
