============ Train epoch 1 ============
 client 0| Loss: 1.0599 | Test  Acc: 0.9066
 client 1| Loss: 1.0603 | Test  Acc: 0.9168
 client 2| Loss: 1.0608 | Test  Acc: 0.9106
 client 3| Loss: 1.0608 | Test  Acc: 0.9127
 server  | Loss: 1.0603 | Test  Acc: 0.9168============ Train epoch 2 ============
 client 0| Loss: 0.6305 | Test  Acc: 0.9203
 client 1| Loss: 0.6297 | Test  Acc: 0.9216
 client 2| Loss: 0.6318 | Test  Acc: 0.9243
 client 3| Loss: 0.6368 | Test  Acc: 0.9189
 server  | Loss: 0.6318 | Test  Acc: 0.9243============ Train epoch 3 ============
 client 0| Loss: 0.4609 | Test  Acc: 0.9196
 client 1| Loss: 0.4570 | Test  Acc: 0.9238
 client 2| Loss: 0.4587 | Test  Acc: 0.9231
 client 3| Loss: 0.4581 | Test  Acc: 0.9215
 server  | Loss: 0.6318 | Test  Acc: 0.9243============ Train epoch 4 ============
 client 0| Loss: 0.3913 | Test  Acc: 0.9276
 client 1| Loss: 0.3866 | Test  Acc: 0.9226
 client 2| Loss: 0.3920 | Test  Acc: 0.9263
 client 3| Loss: 0.3869 | Test  Acc: 0.9240
 server  | Loss: 0.3913 | Test  Acc: 0.9276============ Train epoch 5 ============
 client 0| Loss: 0.3438 | Test  Acc: 0.9325
 client 1| Loss: 0.3419 | Test  Acc: 0.9299
 client 2| Loss: 0.3444 | Test  Acc: 0.9305
 client 3| Loss: 0.3436 | Test  Acc: 0.9309
 server  | Loss: 0.3438 | Test  Acc: 0.9325============ Train epoch 6 ============
 client 0| Loss: 0.3312 | Test  Acc: 0.9346
 client 1| Loss: 0.3283 | Test  Acc: 0.9349
 client 2| Loss: 0.3310 | Test  Acc: 0.9347
 client 3| Loss: 0.3286 | Test  Acc: 0.9319
 server  | Loss: 0.3283 | Test  Acc: 0.9349============ Train epoch 7 ============
 client 0| Loss: 0.3227 | Test  Acc: 0.9348
 client 1| Loss: 0.3205 | Test  Acc: 0.9332
 client 2| Loss: 0.3223 | Test  Acc: 0.9343
 client 3| Loss: 0.3251 | Test  Acc: 0.9362
 server  | Loss: 0.3251 | Test  Acc: 0.9362============ Train epoch 8 ============
 client 0| Loss: 0.3249 | Test  Acc: 0.9366
 client 1| Loss: 0.3274 | Test  Acc: 0.9356
 client 2| Loss: 0.3271 | Test  Acc: 0.9362
 client 3| Loss: 0.3237 | Test  Acc: 0.9372
 server  | Loss: 0.3237 | Test  Acc: 0.9372============ Train epoch 9 ============
 client 0| Loss: 0.3255 | Test  Acc: 0.9362
 client 1| Loss: 0.3231 | Test  Acc: 0.9352
 client 2| Loss: 0.3250 | Test  Acc: 0.9358
 client 3| Loss: 0.3268 | Test  Acc: 0.9368
 server  | Loss: 0.3237 | Test  Acc: 0.9372============ Train epoch 10 ============
 client 0| Loss: 0.3289 | Test  Acc: 0.9360
 client 1| Loss: 0.3344 | Test  Acc: 0.9354
 client 2| Loss: 0.3291 | Test  Acc: 0.9361
 client 3| Loss: 0.3280 | Test  Acc: 0.9356
 server  | Loss: 0.3237 | Test  Acc: 0.9372============ Train epoch 11 ============
 client 0| Loss: 0.3342 | Test  Acc: 0.9344
 client 1| Loss: 0.3249 | Test  Acc: 0.9381
 client 2| Loss: 0.3296 | Test  Acc: 0.9351
 client 3| Loss: 0.3346 | Test  Acc: 0.9370
 server  | Loss: 0.3249 | Test  Acc: 0.9381============ Train epoch 12 ============
 client 0| Loss: 0.3335 | Test  Acc: 0.9349
 client 1| Loss: 0.3385 | Test  Acc: 0.9329
 client 2| Loss: 0.3360 | Test  Acc: 0.9368
 client 3| Loss: 0.3286 | Test  Acc: 0.9358
 server  | Loss: 0.3249 | Test  Acc: 0.9381============ Train epoch 13 ============
 client 0| Loss: 0.3380 | Test  Acc: 0.9352
 client 1| Loss: 0.3325 | Test  Acc: 0.9385
 client 2| Loss: 0.3324 | Test  Acc: 0.9352
 client 3| Loss: 0.3368 | Test  Acc: 0.9354
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 14 ============
 client 0| Loss: 0.3332 | Test  Acc: 0.9370
 client 1| Loss: 0.3463 | Test  Acc: 0.9359
 client 2| Loss: 0.3371 | Test  Acc: 0.9380
 client 3| Loss: 0.3341 | Test  Acc: 0.9360
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 15 ============
 client 0| Loss: 0.3445 | Test  Acc: 0.9360
 client 1| Loss: 0.3361 | Test  Acc: 0.9381
 client 2| Loss: 0.3381 | Test  Acc: 0.9371
 client 3| Loss: 0.3385 | Test  Acc: 0.9361
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 16 ============
 client 0| Loss: 0.3319 | Test  Acc: 0.9374
 client 1| Loss: 0.3463 | Test  Acc: 0.9347
 client 2| Loss: 0.3405 | Test  Acc: 0.9377
 client 3| Loss: 0.3468 | Test  Acc: 0.9365
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 17 ============
