============ Train epoch 1 ============
 client 0| Loss: 1.1577 | Test  Acc: 0.8952
 client 1| Loss: 2.5026 | Test  Acc: 0.2095
 client 2| Loss: 1.8440 | Test  Acc: 0.7566
 client 3| Loss: 1.1304 | Test  Acc: 0.8939
 server  | Loss: 1.1577 | Test  Acc: 0.8952============ Train epoch 2 ============
 client 0| Loss: 0.8089 | Test  Acc: 0.8919
 client 1| Loss: 0.5759 | Test  Acc: 0.8519
 client 2| Loss: 0.7883 | Test  Acc: 0.8569
 client 3| Loss: 0.8048 | Test  Acc: 0.8998
 server  | Loss: 0.8048 | Test  Acc: 0.8998============ Train epoch 3 ============
 client 0| Loss: 0.6189 | Test  Acc: 0.9058
 client 1| Loss: 0.6653 | Test  Acc: 0.8947
 client 2| Loss: 0.6447 | Test  Acc: 0.8812
 client 3| Loss: 0.6116 | Test  Acc: 0.9028
 server  | Loss: 0.6189 | Test  Acc: 0.9058============ Train epoch 4 ============
 client 0| Loss: 0.5629 | Test  Acc: 0.9069
 client 1| Loss: 0.6322 | Test  Acc: 0.9128
 client 2| Loss: 0.5736 | Test  Acc: 0.8977
 client 3| Loss: 0.5612 | Test  Acc: 0.9029
 server  | Loss: 0.6322 | Test  Acc: 0.9128============ Train epoch 5 ============
 client 0| Loss: 0.5084 | Test  Acc: 0.9039
 client 1| Loss: 0.6023 | Test  Acc: 0.9094
 client 2| Loss: 0.5140 | Test  Acc: 0.9044
 client 3| Loss: 0.5029 | Test  Acc: 0.9105
 server  | Loss: 0.6322 | Test  Acc: 0.9128============ Train epoch 6 ============
 client 0| Loss: 0.4763 | Test  Acc: 0.9092
 client 1| Loss: 0.6053 | Test  Acc: 0.9189
 client 2| Loss: 0.4736 | Test  Acc: 0.9101
 client 3| Loss: 0.4745 | Test  Acc: 0.9117
 server  | Loss: 0.6053 | Test  Acc: 0.9189============ Train epoch 7 ============
 client 0| Loss: 0.4437 | Test  Acc: 0.9125
 client 1| Loss: 0.5843 | Test  Acc: 0.9148
 client 2| Loss: 0.4459 | Test  Acc: 0.9147
 client 3| Loss: 0.4425 | Test  Acc: 0.9069
 server  | Loss: 0.6053 | Test  Acc: 0.9189============ Train epoch 8 ============
 client 0| Loss: 0.4236 | Test  Acc: 0.9098
 client 1| Loss: 0.5654 | Test  Acc: 0.9153
 client 2| Loss: 0.4214 | Test  Acc: 0.9142
 client 3| Loss: 0.4238 | Test  Acc: 0.9172
 server  | Loss: 0.6053 | Test  Acc: 0.9189============ Train epoch 9 ============
 client 0| Loss: 0.4013 | Test  Acc: 0.9161
 client 1| Loss: 0.5589 | Test  Acc: 0.9151
 client 2| Loss: 0.4011 | Test  Acc: 0.9175
 client 3| Loss: 0.4007 | Test  Acc: 0.9159
 server  | Loss: 0.6053 | Test  Acc: 0.9189============ Train epoch 10 ============
 client 0| Loss: 0.3890 | Test  Acc: 0.9153
 client 1| Loss: 0.5451 | Test  Acc: 0.9124
 client 2| Loss: 0.3896 | Test  Acc: 0.9208
 client 3| Loss: 0.3890 | Test  Acc: 0.9145
 server  | Loss: 0.3896 | Test  Acc: 0.9208============ Train epoch 11 ============
 client 0| Loss: 0.3755 | Test  Acc: 0.9185
 client 1| Loss: 0.6004 | Test  Acc: 0.9154
 client 2| Loss: 0.3825 | Test  Acc: 0.9194
 client 3| Loss: 0.3727 | Test  Acc: 0.9134
 server  | Loss: 0.3896 | Test  Acc: 0.9208============ Train epoch 12 ============
 client 0| Loss: 0.3648 | Test  Acc: 0.9183
 client 1| Loss: 0.5426 | Test  Acc: 0.9113
 client 2| Loss: 0.3719 | Test  Acc: 0.9220
 client 3| Loss: 0.3636 | Test  Acc: 0.9171
 server  | Loss: 0.3719 | Test  Acc: 0.9220============ Train epoch 13 ============
 client 0| Loss: 0.3566 | Test  Acc: 0.9173
 client 1| Loss: 0.5226 | Test  Acc: 0.9103
 client 2| Loss: 0.3672 | Test  Acc: 0.9224
 client 3| Loss: 0.3523 | Test  Acc: 0.9210
 server  | Loss: 0.3672 | Test  Acc: 0.9224============ Train epoch 14 ============
 client 0| Loss: 0.3510 | Test  Acc: 0.9233
 client 1| Loss: 0.5278 | Test  Acc: 0.9117
 client 2| Loss: 0.3635 | Test  Acc: 0.9226
 client 3| Loss: 0.3518 | Test  Acc: 0.9251
 server  | Loss: 0.3518 | Test  Acc: 0.9251============ Train epoch 15 ============
 client 0| Loss: 0.3444 | Test  Acc: 0.9230
 client 1| Loss: 0.5367 | Test  Acc: 0.9087
 client 2| Loss: 0.3642 | Test  Acc: 0.9237
 client 3| Loss: 0.3425 | Test  Acc: 0.9264
 server  | Loss: 0.3425 | Test  Acc: 0.9264============ Train epoch 16 ============
 client 0| Loss: 0.3409 | Test  Acc: 0.9242
 client 1| Loss: 0.5051 | Test  Acc: 0.9054
 client 2| Loss: 0.3550 | Test  Acc: 0.9239
 client 3| Loss: 0.3421 | Test  Acc: 0.9257
 server  | Loss: 0.3425 | Test  Acc: 0.9264============ Train epoch 17 ============
 client 0| Loss: 0.3403 | Test  Acc: 0.9251
 client 1| Loss: 0.4982 | Test  Acc: 0.9136
 client 2| Loss: 0.3563 | Test  Acc: 0.9238
 client 3| Loss: 0.3341 | Test  Acc: 0.9203
 server  | Loss: 0.3425 | Test  Acc: 0.9264============ Train epoch 18 ============
 client 0| Loss: 0.3383 | Test  Acc: 0.9251
 client 1| Loss: 0.4972 | Test  Acc: 0.9090
 client 2| Loss: 0.3581 | Test  Acc: 0.9217
 client 3| Loss: 0.3390 | Test  Acc: 0.9269
 server  | Loss: 0.3390 | Test  Acc: 0.9269============ Train epoch 19 ============
 client 0| Loss: 0.3398 | Test  Acc: 0.9233
 client 1| Loss: 0.4825 | Test  Acc: 0.9091
 client 2| Loss: 0.3587 | Test  Acc: 0.9208
 client 3| Loss: 0.3310 | Test  Acc: 0.9244
 server  | Loss: 0.3390 | Test  Acc: 0.9269============ Train epoch 20 ============
 client 0| Loss: 0.3385 | Test  Acc: 0.9222
 client 1| Loss: 0.4765 | Test  Acc: 0.9123
 client 2| Loss: 0.3562 | Test  Acc: 0.9230
 client 3| Loss: 0.3380 | Test  Acc: 0.9231
 server  | Loss: 0.3390 | Test  Acc: 0.9269============ Train epoch 21 ============
 client 0| Loss: 0.3363 | Test  Acc: 0.9235
 client 1| Loss: 0.4936 | Test  Acc: 0.9147
 client 2| Loss: 0.3540 | Test  Acc: 0.9258
 client 3| Loss: 0.3304 | Test  Acc: 0.9282
 server  | Loss: 0.3304 | Test  Acc: 0.9282============ Train epoch 22 ============
 client 0| Loss: 0.3350 | Test  Acc: 0.9283
 client 1| Loss: 0.4830 | Test  Acc: 0.9154
 client 2| Loss: 0.3597 | Test  Acc: 0.9236
 client 3| Loss: 0.3399 | Test  Acc: 0.9260
 server  | Loss: 0.3350 | Test  Acc: 0.9283============ Train epoch 23 ============
 client 0| Loss: 0.3392 | Test  Acc: 0.9238
 client 1| Loss: 0.4692 | Test  Acc: 0.9168
 client 2| Loss: 0.3548 | Test  Acc: 0.9248
 client 3| Loss: 0.3340 | Test  Acc: 0.9261
 server  | Loss: 0.3350 | Test  Acc: 0.9283============ Train epoch 24 ============
 client 0| Loss: 0.3413 | Test  Acc: 0.9223
 client 1| Loss: 0.4648 | Test  Acc: 0.9153
 client 2| Loss: 0.3541 | Test  Acc: 0.9265
 client 3| Loss: 0.3425 | Test  Acc: 0.9274
 server  | Loss: 0.3350 | Test  Acc: 0.9283============ Train epoch 25 ============
 client 0| Loss: 0.3389 | Test  Acc: 0.9260
 client 1| Loss: 0.4652 | Test  Acc: 0.9144
 client 2| Loss: 0.3628 | Test  Acc: 0.9234
 client 3| Loss: 0.3369 | Test  Acc: 0.9259
 server  | Loss: 0.3350 | Test  Acc: 0.9283============ Train epoch 26 ============
 client 0| Loss: 0.3454 | Test  Acc: 0.9215
 client 1| Loss: 0.4779 | Test  Acc: 0.9177
 client 2| Loss: 0.3573 | Test  Acc: 0.9245
 client 3| Loss: 0.3444 | Test  Acc: 0.9264
 server  | Loss: 0.3350 | Test  Acc: 0.9283============ Train epoch 27 ============
 client 0| Loss: 0.3394 | Test  Acc: 0.9274
 client 1| Loss: 0.4690 | Test  Acc: 0.9168
 client 2| Loss: 0.3728 | Test  Acc: 0.9211
 client 3| Loss: 0.3366 | Test  Acc: 0.9239
 server  | Loss: 0.3350 | Test  Acc: 0.9283============ Train epoch 28 ============
 client 0| Loss: 0.3420 | Test  Acc: 0.9256
 client 1| Loss: 0.4892 | Test  Acc: 0.9174
 client 2| Loss: 0.3619 | Test  Acc: 0.9235
 client 3| Loss: 0.3537 | Test  Acc: 0.9160
 server  | Loss: 0.3350 | Test  Acc: 0.9283============ Train epoch 29 ============
 client 0| Loss: 0.3458 | Test  Acc: 0.9267
 client 1| Loss: 0.4484 | Test  Acc: 0.9171
 client 2| Loss: 0.3761 | Test  Acc: 0.9255
 client 3| Loss: 0.3455 | Test  Acc: 0.9272
 server  | Loss: 0.3350 | Test  Acc: 0.9283============ Train epoch 30 ============
 client 0| Loss: 0.3470 | Test  Acc: 0.9241
 client 1| Loss: 0.4657 | Test  Acc: 0.9201
 client 2| Loss: 0.3607 | Test  Acc: 0.9244
 client 3| Loss: 0.3492 | Test  Acc: 0.9244
 server  | Loss: 0.3350 | Test  Acc: 0.9283============ Train epoch 31 ============
 client 0| Loss: 0.3568 | Test  Acc: 0.9253
 client 1| Loss: 0.4568 | Test  Acc: 0.9207
 client 2| Loss: 0.3778 | Test  Acc: 0.9220
 client 3| Loss: 0.3486 | Test  Acc: 0.9257
 server  | Loss: 0.3350 | Test  Acc: 0.9283============ Train epoch 32 ============
 client 0| Loss: 0.3480 | Test  Acc: 0.9222
 client 1| Loss: 0.4964 | Test  Acc: 0.9226
 client 2| Loss: 0.3645 | Test  Acc: 0.9247
 client 3| Loss: 0.3581 | Test  Acc: 0.9250
 server  | Loss: 0.3350 | Test  Acc: 0.9283============ Train epoch 33 ============
 client 0| Loss: 0.3582 | Test  Acc: 0.9242
 client 1| Loss: 0.4622 | Test  Acc: 0.9234
 client 2| Loss: 0.3823 | Test  Acc: 0.9182
 client 3| Loss: 0.3476 | Test  Acc: 0.9226
 server  | Loss: 0.3350 | Test  Acc: 0.9283============ Train epoch 34 ============
 client 0| Loss: 0.3481 | Test  Acc: 0.9263
 client 1| Loss: 0.4724 | Test  Acc: 0.9243
 client 2| Loss: 0.3653 | Test  Acc: 0.9253
 client 3| Loss: 0.3513 | Test  Acc: 0.9259
 server  | Loss: 0.3350 | Test  Acc: 0.9283============ Train epoch 35 ============
 client 0| Loss: 0.3627 | Test  Acc: 0.9280
 client 1| Loss: 0.4542 | Test  Acc: 0.9247
 client 2| Loss: 0.3797 | Test  Acc: 0.9262
 client 3| Loss: 0.3551 | Test  Acc: 0.9240
 server  | Loss: 0.3350 | Test  Acc: 0.9283============ Train epoch 36 ============
 client 0| Loss: 0.3563 | Test  Acc: 0.9261
 client 1| Loss: 0.4739 | Test  Acc: 0.9207
 client 2| Loss: 0.3699 | Test  Acc: 0.9245
 client 3| Loss: 0.3511 | Test  Acc: 0.9245
 server  | Loss: 0.3350 | Test  Acc: 0.9283============ Train epoch 37 ============
 client 0| Loss: 0.3604 | Test  Acc: 0.9256
 client 1| Loss: 0.4756 | Test  Acc: 0.9242
 client 2| Loss: 0.3767 | Test  Acc: 0.9228
 client 3| Loss: 0.3568 | Test  Acc: 0.9303
 server  | Loss: 0.3568 | Test  Acc: 0.9303============ Train epoch 38 ============
 client 0| Loss: 0.3569 | Test  Acc: 0.9208
 client 1| Loss: 0.4748 | Test  Acc: 0.9256
 client 2| Loss: 0.3640 | Test  Acc: 0.9284
 client 3| Loss: 0.3544 | Test  Acc: 0.9284
 server  | Loss: 0.3568 | Test  Acc: 0.9303============ Train epoch 39 ============
 client 0| Loss: 0.3607 | Test  Acc: 0.9282
 client 1| Loss: 0.4671 | Test  Acc: 0.9231
 client 2| Loss: 0.3777 | Test  Acc: 0.9232
 client 3| Loss: 0.3567 | Test  Acc: 0.9266
 server  | Loss: 0.3568 | Test  Acc: 0.9303============ Train epoch 40 ============
 client 0| Loss: 0.3524 | Test  Acc: 0.9247
 client 1| Loss: 0.4510 | Test  Acc: 0.9241
 client 2| Loss: 0.3662 | Test  Acc: 0.9287
 client 3| Loss: 0.3573 | Test  Acc: 0.9276
 server  | Loss: 0.3568 | Test  Acc: 0.9303============ Train epoch 41 ============
 client 0| Loss: 0.3676 | Test  Acc: 0.9292
 client 1| Loss: 0.4759 | Test  Acc: 0.9205
 client 2| Loss: 0.3818 | Test  Acc: 0.9225
 client 3| Loss: 0.3505 | Test  Acc: 0.9263
 server  | Loss: 0.3568 | Test  Acc: 0.9303============ Train epoch 42 ============
 client 0| Loss: 0.3510 | Test  Acc: 0.9276
 client 1| Loss: 0.4776 | Test  Acc: 0.9198
 client 2| Loss: 0.3744 | Test  Acc: 0.9299
 client 3| Loss: 0.3631 | Test  Acc: 0.9277
 server  | Loss: 0.3568 | Test  Acc: 0.9303============ Train epoch 43 ============
 client 0| Loss: 0.3659 | Test  Acc: 0.9269
 client 1| Loss: 0.4709 | Test  Acc: 0.9226
 client 2| Loss: 0.3854 | Test  Acc: 0.9238
 client 3| Loss: 0.3588 | Test  Acc: 0.9279
 server  | Loss: 0.3568 | Test  Acc: 0.9303============ Train epoch 44 ============
 client 0| Loss: 0.3539 | Test  Acc: 0.9276
 client 1| Loss: 0.4428 | Test  Acc: 0.9254
 client 2| Loss: 0.3632 | Test  Acc: 0.9281
 client 3| Loss: 0.3694 | Test  Acc: 0.9240
 server  | Loss: 0.3568 | Test  Acc: 0.9303============ Train epoch 45 ============
 client 0| Loss: 0.3666 | Test  Acc: 0.9284
 client 1| Loss: 0.4503 | Test  Acc: 0.9226
 client 2| Loss: 0.3837 | Test  Acc: 0.9249
 client 3| Loss: 0.3574 | Test  Acc: 0.9312
 server  | Loss: 0.3574 | Test  Acc: 0.9312============ Train epoch 46 ============
 client 0| Loss: 0.3620 | Test  Acc: 0.9268
 client 1| Loss: 0.5182 | Test  Acc: 0.9272
 client 2| Loss: 0.3643 | Test  Acc: 0.9286
 client 3| Loss: 0.3564 | Test  Acc: 0.9291
 server  | Loss: 0.3574 | Test  Acc: 0.9312============ Train epoch 47 ============
 client 0| Loss: 0.3684 | Test  Acc: 0.9262
 client 1| Loss: 0.4565 | Test  Acc: 0.9256
 client 2| Loss: 0.3807 | Test  Acc: 0.9241
 client 3| Loss: 0.3590 | Test  Acc: 0.9286
 server  | Loss: 0.3574 | Test  Acc: 0.9312============ Train epoch 48 ============
 client 0| Loss: 0.3613 | Test  Acc: 0.9257
 client 1| Loss: 0.4429 | Test  Acc: 0.9269
 client 2| Loss: 0.3694 | Test  Acc: 0.9257
 client 3| Loss: 0.3566 | Test  Acc: 0.9289
 server  | Loss: 0.3574 | Test  Acc: 0.9312============ Train epoch 49 ============
 client 0| Loss: 0.3700 | Test  Acc: 0.9299
 client 1| Loss: 0.4943 | Test  Acc: 0.9233
 client 2| Loss: 0.3804 | Test  Acc: 0.9244
 client 3| Loss: 0.3574 | Test  Acc: 0.9286
 server  | Loss: 0.3574 | Test  Acc: 0.9312============ Train epoch 50 ============
 client 0| Loss: 0.3608 | Test  Acc: 0.9294
 client 1| Loss: 0.4766 | Test  Acc: 0.9262
 client 2| Loss: 0.3691 | Test  Acc: 0.9289
 client 3| Loss: 0.3548 | Test  Acc: 0.9302
 server  | Loss: 0.3574 | Test  Acc: 0.9312
